video_id,start_ms,end_ms,center_ms,guard_height
testvideo,22400,22650,22525,-0.035459507256746306
testvideo,22440,22690,22565,-0.040209464728832266
testvideo,22480,22730,22605,-0.04483320936560633
testvideo,22520,22770,22645,-0.051306115729468214
testvideo,22560,22810,22685,-0.05420778478894915
testvideo,22600,22850,22725,-0.05215178057551384
testvideo,22640,22890,22765,-0.050341732800006866
testvideo,22680,22930,22805,-0.047910206019878394
testvideo,22720,22970,22845,-0.0442316404410771
testvideo,22760,23010,22885,-0.0426048082964761
testvideo,22800,23050,22925,-0.0426170655659267
testvideo,22840,23090,22965,-0.04504043236374855
testvideo,22880,23130,23005,-0.04538822174072265
testvideo,22920,23170,23045,-0.04511006815092904
testvideo,22960,23210,23085,-0.041134425571986606
testvideo,23000,23250,23125,-0.03778797388076783
testvideo,23040,23290,23165,-0.038220670074224465
testvideo,23080,23330,23205,-0.036450587213039384
testvideo,23120,23370,23245,-0.02584765425750187
testvideo,23160,23410,23285,-0.016214930585452484
testvideo,23200,23450,23325,-0.006711187107222428
testvideo,23240,23490,23365,0.008686592802405354
testvideo,23280,23530,23405,0.01939222961664199
